id,gamma
1,0.9411720341071486
2,0.7662223974242807
3,0.7985630261401336
4,0.769834284298122
5,0.8527818243950605
6,0.8165683431284769
7,0.8135149563662708
8,0.7482111617922783
9,0.7795763415594896
10,0.7877432812005282
11,0.7828540227065485
12,0.6651837173849344
13,0.7411913938820363
14,0.7724110722541809
15,0.7699152030050754
16,0.8163836569835743
17,0.7824715563096106
18,0.7433256689459086
19,0.7327133003622294
20,0.7904785800725221
21,0.7988158875145018
22,0.8465983789414168
23,0.9636507980525494
24,0.7695922464664494
25,0.8386017968257269
26,0.8202533257193864
27,0.8289380076030891
28,0.7758938716990608
29,0.8300321747238438
30,0.7705019514475551
31,0.7076581843197346
32,0.8893078170716763
33,0.8079709670816859
34,1.3270222717896103
35,0.7563440800644458
36,0.8348687243958315
37,0.8559325613081455
38,0.8106136530637741
39,0.7950370228849352
40,0.7946380533277989
41,0.8086564615368843
42,0.765359199854235
43,0.8228951050899923
44,0.8285327972223362
45,0.9182730819409093
46,0.743464719131589
47,0.8543061056174338
48,0.8142457093112171
49,0.7815106252829235
50,0.8287015749141574
51,0.7479657848365605
52,0.8349243734031916
53,0.8201345737092197
54,0.7444102536886931
55,0.839962516228358
56,1.1054793396964668
57,0.7641164492815733
58,0.7466570482899746
59,0.8341596942394972
60,0.8377722470089793
61,0.7763730549918755
62,0.8334492422640324
63,0.8035126958042383
64,0.7353017279878259
65,0.8205786505093178
66,0.8334246416886648
67,1.9745963450521231
68,0.8242660111437242
69,0.7693833940972885
70,0.8443471835305294
71,0.7770884663487475
72,0.7912851316854358
73,0.7654214320704341
74,0.8753849990665913
75,0.8092921214178205
76,0.8613949675112963
77,0.826129487529397
78,0.9934480285892883
79,0.7290688872337341
80,0.7602341674268246
81,0.7693833940972885
82,0.8385578613728285
83,0.7924232564866542
84,0.6927205576561392
85,0.7919266529381275
86,0.839490585277478
87,0.7935095928609371
88,0.8307246636599303
89,1.1012900267727672
90,0.8299144226436814
91,0.8240695001291378
92,0.8470603223890066
93,0.7970880958562097
94,0.8188108641122069
95,0.8080269957582157
96,0.7575239187727373
97,0.7932256757592162
98,0.8129772516898811
99,0.7896436312546333
100,0.7693833940972885
101,0.8055188304434221
102,0.716716330125928
103,0.8233296983875334
104,3.154806977696717
105,0.7788381904363633
106,0.7419261164963246
107,0.8148488591114681
108,0.8263627839585146
109,0.8261941909790039
110,0.7849044696738323
111,0.7964318800717592
112,1.0275368083268404
113,0.8595876421779394
114,0.798677271977067
115,0.6853301067370922
116,0.7469260384639105
117,0.8127985077599685
118,0.7952297037467361
119,0.8064552215859294
120,0.8191868002526462
121,0.8067371040582657
122,0.7693833940972885
123,1.3899250287562608
124,0.8108698753019175
125,0.7696482162922621
126,0.8587946821536337
127,0.8485747665166855
128,2.001764913182706
129,0.8560730694127935
130,0.8058593367226422
131,0.7959336215630174
132,0.7992408402264118
133,0.7807500898838043
134,1.2456508082648117
135,0.7737775888293982
136,0.8111722201108933
137,0.7578821819275617
138,0.8428909635171294
139,0.8167854224021237
140,0.8207060293604931
141,0.794199488684535
142,0.7895956991861265
143,0.7719559144228697
144,0.788601328060031
145,1.6918310858723191
146,0.7882991757243871
147,0.8661282585002482
148,1.9987874977290634
149,0.7772386337320011
150,0.7768953637530407
151,0.8447279109153896
152,0.7842332020401954
153,0.799231618270278
154,0.8019568208605051
155,0.7658678238280118
156,0.8570901533588767
157,0.7982359298194449
158,0.8352245759218931
159,0.8352978566395386
160,0.7693833940972885
161,0.766426602538143
162,0.8126338686794042
163,0.8145453299861402
164,0.7809576304629445
165,0.7724521916359663
166,0.7576689385809005
167,1.1568978620693087
168,0.8135083568592867
169,0.7693833940972885
170,0.8659531364838283
171,0.7073723558336497
172,0.8521993851910036
173,0.810108813084662
174,0.8595963712781668
175,0.7651401528290341
176,0.8035687285164993
177,0.774100523069501
178,0.9630835369229316
179,0.8441757909953594
180,0.820661031578978
181,0.8213467286899686
182,0.8387446288019419
183,0.7726572495486056
184,0.811903468359794
185,0.7704499136656523
186,0.7297776360064745
187,0.8153972649946809
188,0.8582438288877409
189,1.2835181915201246
190,0.8086668211966753
191,0.810079138353467
192,0.8028615139424801
193,0.7225339651107788
194,0.831979538872838
195,0.850129597261548
196,0.8509117003530264
197,0.8025769542902708
198,0.8430633001029492
199,0.8375964303811392
200,1.28870105240494
