id,G
1, 51.94434356689453
2, 51.94434356689453
3, 39.81520462036133
4, 91.2124252319336
5, 39.81520462036133
6, 51.94434356689453
7, 51.94434356689453
8, 51.94434356689453
9, 91.2124252319336
10, 51.94434356689453
11, 91.2124252319336
12, 91.2124252319336
13, 51.88731384277344
14, 39.81520462036133
15, 51.94434356689453
16, 51.94434356689453
17, 51.88731384277344
18, 51.94434356689453
19, 51.88731384277344
20, 51.94434356689453
21, 37.14417266845703
22, 51.94434356689453
23, 57.58077621459961
24, 51.94434356689453
25, 37.14417266845703
26, 31.56924057006836
27, 51.94434356689453
28, 51.94434356689453
29, 51.88731384277344
30, 51.94434356689453
31, 91.2124252319336
32, 51.94434356689453
33, 91.2124252319336
34, 39.81520462036133
35, 57.58077621459961
36, 91.2124252319336
37, 91.2124252319336
38, 51.94434356689453
39, 51.94434356689453
40, 39.81520462036133
41, 57.58077621459961
42, 57.58077621459961
43, 51.94434356689453
44, 51.94434356689453
45, 91.2124252319336
46, 91.2124252319336
47, 91.2124252319336
48, 51.94434356689453
49, 45.142478942871094
50, 51.88731384277344
51, 51.94434356689453
52, 34.787357330322266
53, 91.2124252319336
54, 51.94434356689453
55, 91.2124252319336
56, 51.94434356689453
57, 51.94434356689453
58, 51.94434356689453
59, 39.81520462036133
60, 51.94434356689453
61, 91.2124252319336
62, 51.88731384277344
63, 91.2124252319336
64, 51.94434356689453
65, 51.88731384277344
66, 51.94434356689453
67, 39.81520462036133
68, 91.2124252319336
69, 91.2124252319336
70, 51.88731384277344
71, 91.2124252319336
72, 51.94434356689453
73, 39.81520462036133
74, 91.2124252319336
75, 51.94434356689453
76, 39.81520462036133
77, 51.94434356689453
78, 91.2124252319336
79, 51.88731384277344
80, 91.2124252319336
81, 51.88731384277344
82, 51.88731384277344
83, 51.94434356689453
84, 57.58077621459961
85, 51.94434356689453
86, 51.94434356689453
87, 57.58077621459961
88, 91.2124252319336
89, 51.94434356689453
90, 51.94434356689453
91, 91.2124252319336
92, 51.94434356689453
93, 91.2124252319336
94, 51.94434356689453
95, 39.81520462036133
96, 51.94434356689453
97, 51.94434356689453
98, 51.88731384277344
99, 51.94434356689453
100, 91.2124252319336
