id,p
1, 0.013683363259240914
2, 0.00947309764101294
3, 0.010216085691288465
4, 0.009844591666150702
5, 0.010030338678719584
6, 0.010092254349575877
7, 0.009844591666150702
8, 0.008730109590737415
9, 0.00897777227416259
10, 0.009225434957587765
11, 0.00947309764101294
12, 0.0073060491610426595
13, 0.008915856603306297
14, 0.009535013311869234
15, 0.008915856603306297
16, 0.010154170020432172
17, 0.009906507337006997
18, 0.008668193919881122
19, 0.008915856603306297
20, 0.008915856603306297
21, 0.009349266299300354
22, 0.00996842300786329
23, 0.012259302829546159
24, 0.009039687945018884
25, 0.010030338678719584
26, 0.010154170020432172
27, 0.010030338678719584
28, 0.00947309764101294
29, 0.010154170020432172
30, 0.009287350628444059
31, 0.009163519286731472
32, 0.00996842300786329
33, 0.009906507337006997
34, 0.01913194229459476
35, 0.009101603615875179
36, 0.010030338678719584
37, 0.010154170020432172
38, 0.010030338678719584
39, 0.010216085691288465
40, 0.009596928982725527
41, 0.009782675995294409
42, 0.009658844653581822
43, 0.009906507337006997
44, 0.010278001362144759
45, 0.011887808804408396
46, 0.00829669989474336
47, 0.00996842300786329
48, 0.009844591666150702
49, 0.009906507337006997
50, 0.009720760324438115
51, 0.008358615565599654
52, 0.010030338678719584
53, 0.009596928982725527
54, 0.008420531236455947
55, 0.010030338678719584
56, 0.015478917714073432
57, 0.009596928982725527
58, 0.008049037211318185
59, 0.009844591666150702
60, 0.010030338678719584
61, 0.00947309764101294
62, 0.009658844653581822
63, 0.009535013311869234
64, 0.008668193919881122
65, 0.010030338678719584
66, 0.010030338678719584
67, 0.013992941613522382
68, 0.010030338678719584
69, 0.00996842300786329
70, 0.010030338678719584
71, 0.008915856603306297
72, 0.009782675995294409
73, 0.009596928982725527
74, 0.010154170020432172
75, 0.00947309764101294
76, 0.010092254349575877
77, 0.010030338678719584
78, 0.012816543867252802
79, 0.008730109590737415
80, 0.009535013311869234
81, 0.00947309764101294
82, 0.010030338678719584
83, 0.009906507337006997
84, 0.007863290198749304
85, 0.009596928982725527
86, 0.009782675995294409
87, 0.009906507337006997
88, 0.010030338678719584
89, 0.015231255030648257
90, 0.010030338678719584
91, 0.010030338678719584
92, 0.010092254349575877
93, 0.009658844653581822
94, 0.009844591666150702
95, 0.009782675995294409
96, 0.00848244690731224
97, 0.009782675995294409
98, 0.009906507337006997
99, 0.009906507337006997
100, 0.013559531917528326
